"","CATCHID","SINUOSITY.x","STRM_DENS.x","ELEVCM_MEA.x","SLP_PERC.x","MEAN_RCHRG.x","MEAN_IEOF.x","RF30_MEAN.x","NHDAREAWTMAP.x","NHDAREAWTMAT.x","NHDMAXELEVSMO.x","NHDMINELEVSMO.x","NHDSLOPE.x","L_POPDENS","SO.x","OrgMatter_WA.x","CaCO3_WA.x","SurfText_Maj.x","NLCD_CN.x","DENS_RD_XING.x","DENS_FishBarrier.x","DENS_L_TRI.x","StorageRatio.x","BFI_MEAN.y","SINUOSITY.y","STRM_DENS.y","ELEVCM_MEA.y","SLP_PERC.y","MEAN_RCHRG.y","MEAN_IEOF.y","SATOF_MEAN.y","NHDAREAWTMAP.y","NHDAREAWTMAT.y","NHDMAXELEVSMO.y","NHDSLOPE.y","N_POPDENSC","Silt_WA.y","OrgMatter_WA.y","KfactWS_WA.y","EC_WA.y","Dep2WatTbl_WA.y","CaCO3_WA.y","SurfText_Maj.y","NLCD_CN.y","DENS_RD_XING.y","DENS_DamCount.y","DENS_L_TRI.y","DENS_L_NPDES.y","DENS_L_CERC.y","StorageRatio.y","NHDCUMDRAINAG.x","PCT_ADRAIN.x","PCT_ADRAIN.y","Dom_SGEOL.x","Dom_SGEOL.y","sedrisk.x","PCT_IRRIG.x","PCT_IRRIG.y","basf_PC.x","frccMN.x","is_PC.x","prcp_PC.x","runo_PC.x","snwe_PC.x","fireMN.x","TotalUse","tave_PC.x","tmax_PC.x","tmin_PC.x","Pct2006NatLC.x","Pct2006AgrLC.x","ARAPct2006NatLC.x","Pct2006NatLC.y","Pct2006UrbLC.y","Pct2006AgrLC.y","ARAPct2006NatLC.y","ARAPct2006AgrLC.y","L_ROADDENS","N_ROADDENS","Ksat_WA","WQRegion","PSARegion","LgFldFlow_p.x","SmFldDur_p.x","SmFldDate_p.x","SmFldFreq.x","HiFall_p.x","CRAM_Overall_Score.x","CSCI.x","N_SUMMER","pH_SUMMER.x","SpecCond_SUMMER.x","TEMP_SUMMER.x","TURB_SUMMER.x","PHAB.MMI.Score"
"27",1670229,1.16376,0.001094004,212.8,12.33,88.9,8.83,787.45,930.1061,141.0406,545.43,1.94,0.04884,94.2945,1,1.74734073,1.954736014,"clay loam",83.02758864,0.688507871,1.377015741,0,0,23.01,1.16376,0.001094004,212.8,12.33,88.9,8.83,1.52,930.1061,141.0406,545.43,0.04884,94.295,33.86908211,1.74734073,0.298507029,1.347107026,152.8510737,1.954736014,"clay loam",83.02758864,0.688507871,0,0,0,0,0,10.17,0,0,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",7.041434837,0.207423717,0.207423717,40.54379303,1.2032,0.17980112,46.19083902,26.98616745,0,0.980820914,0.872482779,0.008953963,0.011087787,0.0067028,0.787779645,0.018569281,0.675989288,0.787779645,0.193651074,0.018569281,0.675989288,0.008628384,24648.02,24648.02,4.355808515,"San Francisco Bay","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,0.51225,7.825,526.5,17.82,2.5,NA
"28",1670539,1,0.000507989,372.91,6.44,118.8,3,1353,1113.86,144.2,358.6,353.39,0.01258,13.3024,1,1.58,0,"clay loam",79.35784851,0,0,0,0,26.96,1,0.000507989,372.91,6.44,118.8,3,2,1113.86,144.2,358.6,0.01258,13.302,35.7,1.58,0.32,0.4,201,0,"clay loam",79.35784851,0,0,0,0,0,0,0.815,0,0,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",3.533993486,0,0,50.15796499,1.471428571,0.747262184,45.61722118,28.36483034,0,0.950919936,0,0.009125845,0.011175201,0.006956775,0.950603733,0,0.986798679,0.950603733,0.049396268,0,0.986798679,0,232.51,232.51,8.9139,"San Francisco Bay","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",3880018,1.22756,0.000466389,85.14,16.13,132.1,7.22,1007.71,955.7889,135.5077,153.89,12.86,0.03168,21.2714,1,2.955733617,0.173331307,"loam",67.04709323,0.838593058,0,0,0,29,1.22756,0.000466389,85.14,16.13,132.1,7.22,1.96,955.7889,135.5077,153.89,0.03168,21.271,34.34977953,2.955733617,0.326355481,1.046221682,98.98221074,0.173331307,"loam",67.04709323,0.838593058,0,0,0,0,0,9.544,2.84e-05,2.84e-05,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",15.06752372,0.132588376,0.132588376,56.39553671,1.058517555,1.322692823,45.96228553,19.39396266,0,1.102818638,0.177499118,0.008920997,0.009946693,0.007823316,0.927802945,0,0.826522745,0.927802945,0.072197055,0,0.826522745,0,14647.88,14647.88,6.291711191,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",3880026,1.15842,0.00043991,82.02,15.05,128.6,6.68,915.87,891.7949,137.6828,70.49,18.16,0.00949,22.3859,1,2.881638769,0.702580218,"loam",67.88475889,0.638144142,0,0,0,29,1.15842,0.00043991,82.02,15.05,128.6,6.68,2.07,891.7949,137.6828,70.49,0.00949,22.386,33.89109714,2.881638769,0.345761275,1.187354725,101.9812879,0.702580218,"loam",67.88475889,0.638144142,0,0,0,0,0,12.534,0,0,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",13.43079957,0.359717067,0.359717067,51.62976189,1.028436019,1.13603204,46.02485227,18.81921815,0,1.064008951,0.657768461,0.008902595,0.01022216,0.007498187,0.95945752,0,0.877990431,0.95945752,0.04054248,0,0.877990431,0,15068.36,15068.36,6.735098288,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",3880030,1.05381,0.000575184,127.36,19.04,125.5,5.17,805,819.0909,139.6101,115.41,42.97,0.02902,25.7822,1,2.98,0,"loam",67.10346977,0,0,0,0,28.97,1.05381,0.000575184,127.36,19.04,125.5,5.17,1.86,819.0909,139.6101,115.41,0.02902,25.782,34.5,2.98,0.32,1,98,0,"loam",67.10346977,0,0,0,0,0,0,4.339,0,0,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",15.08727425,0.462888473,0.462888473,45.36294884,1.182669789,1.656984396,45.99302172,19.13274711,0,1.013972706,0.279879537,0.008894224,0.010463054,0.007231324,0.993351339,0,0.964985994,0.99335134,0.00664866,0,0.964985994,0,650.79,650.79,6.1465,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",3880292,1.27561,0.000423207,67.94,11.1,108.4,7.76,670.13,745.459,140.5258,61.32,25.25,0.00647,48.6798,1,2.72091028,0,"loam",68.52666713,0.15206037,0,0,0,25.91,1.27561,0.000423207,67.94,11.1,108.4,7.76,1.16,745.459,140.5258,61.32,0.00647,48.68,33.08819374,2.72091028,0.32,1,102.4991628,0,"loam",68.52666713,0.15206037,0,0,0,0,0,13.154,5.49e-06,5.49e-06,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",6.296571747,0.404534413,0.404534413,38.8309415,1,1.409541976,45.90364829,18.9542522,0,0.978531472,0.873237871,0.008880487,0.010653489,0.007006928,0.875530603,0.018964809,0.925860024,0.875530603,0.105504588,0.018964809,0.925860024,0.003558719,15998.02,15998.02,6.428830224,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1320",8272341,1.03831,0.000699864,124.72,22.01,241.8,7,1050,1114.28381,145.44861,38.85,36.99,0.0018,19.3687,5,2.07,0,"loam",63.00859951,0,0,0,0,34.33731755,1.180022775,0.000812743,434.3098268,28.5260677,215.2236706,6.467495191,4.404937463,1143.266994,143.9820537,1083.21,0.068715366,16.3,33.74290198,1.814054532,0.297940712,0.473638139,177.5804248,0.160007089,"loam",69.83572378,0.431785939,0.013247978,0.004906658,0.000981332,0.000981332,0.200392654,2038.071,0,0.001333493,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",13.79038186,0,0.027958966,60.21139168,1.885714286,0.302178307,43.71575685,22.05606787,0,0.963006845,0,0.009190009,0.010849097,0.007431437,0.992628993,0,0.97153025,0.876975886,0.063206934,0.059817179,0.771060008,0.138252838,1675.24,3081491.69,6.9661,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1333",8272367,1.08048,0.000362545,268.73,23.34,224.1,3,1054,1031.87586,146.92731,152.86,140.39,0.01147,7.9793,2,2.35,0,"loam",73.49835082,0.666504775,0,0,0,32.20569832,1.51836358,0.000655235,268.1152411,24.97872036,213.5171518,2.859554773,2.32764645,1034.122011,146.6343185,313.12,0.030285024,7.542,28.32425227,2.682977894,0.29270156,0.243237971,201,0,"gravelly loam",63.61986068,0.693290097,0,0,0,0,0,21.633,0,0,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",31.83060402,0.066981597,0.030612668,60.62883738,1.729007634,1.808846752,43.32461092,21.83416019,0,0.941973015,0.038538106,0.009152173,0.010435585,0.00778877,0.927436281,0.046176912,0.647260274,0.945607226,0.03540949,0.018983284,0.873765868,0.069346497,2749.9,21578.98,5.9773,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1335",8272371,1.06834,0.00112224,274.04,27.02,236.1,3.62,1053.47,1063.688,149.2059,350.55,116.99,0.05843,5.0692,1,2.15603281,0,"loam",73.56890012,0,0,0,0,34.67,1.06834,0.00112224,274.04,27.02,236.1,3.62,3.15,1063.688,149.2059,350.55,0.05843,5.069,32.20322416,2.15603281,0.310732248,0.70775955,201,0,"loam",73.56890012,0,0,0,0,0,0,3.561,0,0,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",23.97186545,0,0,61.61470243,1.677966102,0.11527776,43.30238839,20.06155317,0,0.913328893,0,0.009185468,0.010777339,0.00749655,1,0,1,1,0,0,1,0,0,0,6.203945273,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1337",8272375,1.11033,0.000613155,107.14,19.85,233.6,5.83,1049.72,1024.40347,150.10301,64.98,38.85,0.00802,28.0822,2,1.872403124,0,"loam",62.6967074,0.376508786,0.376508786,0,0,35.38509881,1.114244367,0.000879497,173.3169144,23.67399017,230.5264294,4.947329362,4.339475726,1032.271357,149.6878831,350.55,0.037418684,14.041,30.78609884,1.805152117,0.208529806,0.796207317,201,0,"very gravelly loam",70.65149565,0.137637119,0,0,0,0,0,21.8,0.000108736,2.65e-05,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",14.25463112,0.002708755,0.000660144,60.67257534,1.446969697,1.445598475,43.60018723,21.42010009,0,0.938284373,0.002915368,0.009190414,0.010846149,0.007435022,0.963340121,0.001866938,0.811196488,0.980215952,0.019329059,0.000454987,0.954133239,0,7471.57,13029.92,6.899860138,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1341",8272383,1.14044,0.001396898,233.75,27.27,231.5,4.72,1080.8,1046.779,149.3359,312.24,90.8,0.06381,5.2888,1,1.829818335,0,"very gravelly loam",73.28638839,0,2.01380648,0,0,35,1.14044,0.001396898,233.75,27.27,231.5,4.72,4.58,1046.779,149.3359,312.24,0.06381,5.289,30.52684422,1.829818335,0.211055602,0.888989814,201,0,"very gravelly loam",73.28638839,0,0,0,0,0,0,2.484,0,0,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",13.47226073,0,0,61.6186592,1.721115538,1.722203417,43.33359726,20.01926375,0,0.906885816,0,0.009189668,0.010822459,0.007457681,0.98693285,0,0.984446478,0.986932849,0.013067151,0,0.984446478,0,944.67,944.67,6.585117826,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1342",8272385,1.02485,0.001585733,306.42,24.3,235.4,3,1054,1069.371,148.942,382.78,140.39,0.11514,12.0549,1,2.35,0,"loam",73.08051421,0,0,0,0,34.66,1.02485,0.001585733,306.42,24.3,235.4,3,2,1069.371,148.942,382.78,0.11514,12.055,33.2,2.35,0.37,0.6,201,0,"loam",73.08051421,0,0,0,0,0,0,1.327,0,0,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",12.91638187,0.011867687,0.011867687,60.95151191,1.820895522,3.678023035,43.31144431,21.27692312,0,0.934382624,0.002188385,0.009162095,0.010537034,0.007702068,0.998646819,0,0.996779389,0.998646819,0.00135318,0,0.996779389,0,117.99,117.99,5.9773,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1348",8272397,1.07536,0.0003999,127.38,20.14,220.9,5.04,1050,1003.31,149.9,77.16,64.98,0.02532,14.6789,1,1.683170869,0,"very gravelly loam",73.95895522,0,0.830611709,0,0,35.46735202,1.177046389,0.000816792,142.0503255,22.1908291,221.1803814,5.014822565,5,1003.31,149.9,157.4,0.034727309,16.375,29.72390018,1.649703216,0.157612606,0.955219964,201,0,"very gravelly loam",73.17977475,0,0,0,0,0,0,3.244,0,0,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",7.97321622,0,0,60.87465434,1.603773585,0.182112502,43.54788724,21.13083008,0,0.927336226,0.001551504,0.009190594,0.010844831,0.007436627,0.901492537,0,0.830645161,0.951550371,0.048449629,0,0.966751919,0,1873.36,1873.36,6.836424325,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1353",8272407,1.37496,0.000567728,142.84,15.3,227.4,8.57,1050,1000.02716,152.85145,107.46,62.72,0.02953,29.8459,1,2.07,0,"loam",63.87293841,0.750738774,0.750738774,0,0,36.89309504,1.342001445,0.000554691,143.1510071,15.18760095,227.4982128,8.398673288,4.347441135,999.9924625,152.8436312,107.46,0.026934347,28.084,34.5,2.07,0.32,0,201,0,"loam",64.0688805,0.668814184,0,0,0,0,0,2.995,0,0,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",12.46916594,0,0,60.3149234,1.444852941,2.231263373,43.69025892,21.91613751,0,0.957597488,0.000928243,0.009190099,0.010848442,0.007432233,0.952204644,0,0.845410628,0.955611621,0.044388379,0,0.872763421,0,2509.74,2509.74,6.9661,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1355",8272411,1.15693,0.000602505,195.02,28.92,224.9,5,1081,1016.201,149.7327,164.59,90.8,0.03573,13.2421,1,1.63,0,"very gravelly loam",72.57030636,0,0,0,0,35.02,1.15693,0.000602505,195.02,28.92,224.9,5,5,1016.201,149.7327,164.59,0.03573,13.242,29.5,1.63,0.15,1,201,0,"very gravelly loam",72.57030636,0,0,0,0,0,0,3.428,0,0,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",7.165490428,0,0,61.50404107,1.724637681,1.923012948,43.37808869,20.18530289,0,0.900759379,0,0.009191174,0.010840616,0.007441757,0.999999999,0,1,0.999999999,0,0,1,0,0,0,6.8186,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1357",8272417,1.04679,0.001674569,99.24,17.23,212.2,11,1050,995.38414,150.94978,82.53,62.72,0.01625,29.2336,2,1.876156406,0,"loam",61.8488228,0,0,0,0,35.81957295,1.147522286,0.001014406,122.2210939,14.41467824,214.4972208,9.735777234,5,997.6265951,150.6527653,125.96,0.022816398,21.964,31.36733395,1.794325387,0.213489354,0.62653321,201,0,"very gravelly loam",73.18649461,0.263530135,0.527060269,0,0,0,0.334114019,3.794,0,0,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",10.20128077,0,0.000355489,60.38892474,1.591549296,0.850736245,43.67187741,21.815128,0,0.953618685,0,0.009190162,0.010847972,0.007432805,0.999999999,0,1,0.935813031,0.056126617,0.008060353,0.946724891,0.027074236,0,3606.61,6.901118341,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1359",8272421,1.21298,0.000741158,124.14,13.42,216.5,10.17,1050,998.81756,150.49502,115.37,82.53,0.0199,20.0979,1,1.82962416,0,"very gravelly loam",75.92929293,0.449138144,0,0,0.1874874,35.74542986,1.19479878,0.000663603,130.4696207,13.88115808,215.8670379,9.235024599,5,999.6300012,150.3874128,125.96,0.024070976,20.208,31.35821441,1.793522868,0.21317929,0.628357118,201,0,"very gravelly loam",75.83718919,0.36791317,0.36791317,0,0,0,0.1874874,2.719,0,0,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",8.858002006,0.000605865,0.000496296,60.66237813,1.311258278,0.584419684,43.60279898,21.43452218,0,0.938906471,0.000189691,0.009190406,0.010846215,0.007434942,0.905858586,0.013737374,0.858139535,0.910388877,0.078358102,0.01125302,0.885981309,0.057943925,3350.61,3606.61,6.885519463,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1360",8272423,1.56908,0.000766734,84.64,11.03,224,6.33,1038.92,998.4769,152.9512,154.46,18.88,0.02086,91.7732,1,1.948971139,1.376925769,"loam",68.00191144,1.061633447,0.117959272,0,0,38.75,1.56908,0.000766734,84.64,11.03,224,6.33,4.76,998.4769,152.9512,154.46,0.02086,91.773,34.8483075,1.948971139,0.321211944,0.63273642,136.6337686,1.376925769,"loam",68.00191144,1.061633447,0,0,0,0,0,8.475,0.0049716,0.0049716,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",19.34363415,0.155885655,0.155885655,59.52272985,1.370262391,1.103821689,43.87913931,22.94759305,0,0.998655823,0.183894466,0.009189425,0.010853346,0.007426272,0.719124988,0.147605395,0.560864147,0.719124988,0.133269618,0.147605395,0.560864147,0.281262983,16209.84,16209.84,8.319980185,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1361",8272425,1.56703,0.000657603,287.44,25.59,206.1,2.62,1147.77,1055.8881,146.2912,309.06,157.4,0.02884,9.3173,1,2.766749593,0,"gravelly loam",59.67889289,0.25010959,0,0,0,32.10853981,1.557279204,0.000660131,288.2093864,25.68491223,206.1,2.625044287,2.269823084,1055.944674,146.2846796,313.12,0.029102931,9.258,27.06975084,2.768651162,0.272813123,0.151445184,201,0,"gravelly loam",59.65772203,0.246789526,0,0,0,0,0,8.105,0,0,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",16.23224136,0.019961972,0.019696988,59.69219735,1.770750988,2.098871934,43.36166943,23.36960546,0,0.963130593,0.022196488,0.009124346,0.010151082,0.008031985,0.967371737,0.007650765,0.941252421,0.967804859,0.024645935,0.007549205,0.943618339,0.034076828,6253.96,6253.96,18.03736345,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1362",8272427,1.29511,0.003018315,95.98,12.26,209.2,11,1050,986.7,152.1,99.01,82.53,0.03063,18.1717,1,1.63,0,"very gravelly loam",75.05025125,0,0,0,1.026063026,36,1.193149854,0.002370088,105.89164,12.70084029,208.6186721,11,5,986.7,152.1,107.03,0.029800803,20.471,29.5,1.63,0.15,1,201,0,"very gravelly loam",76.17808889,0,2.865016003,0,0,0,1.026063026,0.347,0,0,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",3.771995855,0,0,60.51046917,1.818181818,1.029123414,43.64139946,21.64740129,0,0.947082598,0,0.009190271,0.010847194,0.00743375,1.000000001,0,0.999999999,1.000000001,0,0,0.999999999,0,0,0,6.8186,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1367",8272439,1.26389,0.000603689,249.89,26.69,217.7,4.56,1082.26,1034.883,148.9115,420.1,127.55,0.06054,11.3795,1,1.747838566,0,"very gravelly loam",72.92555943,0.124993907,0,0,0,34.89,1.26389,0.000603689,249.89,26.69,217.7,4.56,4.43,1034.883,148.9115,420.1,0.06054,11.38,30.1055593,1.747838566,0.186006228,0.93453413,201,0,"very gravelly loam",72.92555943,0.124993907,0,0,0,0,0,8.005,0,0,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",12.8732599,0,0,61.64852242,1.739674593,2.422123525,43.31752108,19.98044591,0,0.908005832,0.000586514,0.009188706,0.010811588,0.007467121,0.975148994,0,0.928475034,0.975148994,0.024851007,0,0.928475034,0,5749.2,5749.2,6.680908909,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1368",8272441,1.03354,0.000458299,208.08,21.14,208.4,3.79,1086.57,1135.50599,142.73922,135.8,127.55,0.00515,7.9185,3,1.896651823,0,"clay loam",73.1101367,0.286569395,0,0,0,30.89489091,1.174046835,0.000714048,373.2990223,27.45144978,171.9071581,2.570514264,2.674508163,1156.97342,141.6580967,572.74,0.039859029,13.271,34.02661559,1.826206277,0.312512262,0.369651296,201,0,"clay loam",73.69723262,0.645679676,0,0,0,0,0,78.994,0,4e-05,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",16.44859536,0,0.027607306,61.60969069,1.817919075,1.803448739,43.28439289,20.09109727,0,0.918386297,3.49e-05,0.009182954,0.010750377,0.007519774,0.943770958,0,0.781316348,0.959544329,0.040318973,0.000136722,0.900240614,0,5718.47,115223.55,7.3306664,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1369",8272443,1.11254,0.000821278,258.86,26.5,193.7,3,1087,1152.64279,141.75555,145.08,135.8,0.01414,5.5908,3,1.58080017,0,"clay loam",78.95146727,0,0,0,0,30.23264576,1.147086219,0.000782073,389.6003955,28.24396233,161.3479333,2.690232778,2.686167942,1178.778205,140.4830382,572.74,0.043980901,15.84,35.36772431,1.630833708,0.318133632,0.388608107,201,0,"clay loam",79.00187654,0.739873006,0,0,0,0,0,54.071,0,5.85e-05,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",14.81938808,0,0.025870845,61.23968487,1.835443038,2.03985404,43.29950571,20.76620788,0,0.927484148,0,0.009171107,0.01062919,0.007623319,0.95598194,0,0.938679245,0.964981362,0.035018637,0,0.911692038,0,563.94,73712.87,8.910848339,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1373",8272451,1.28309,0.000584102,359.08,26.48,192.6,2.07,1179.97,1105.469,144.446,516.01,135.8,0.03037,7.6618,1,2.307536808,0,"gravelly loam",60.41260445,0.466556173,0.69983426,0,0,31.98,1.28309,0.000584102,359.08,26.48,192.6,2.07,2.47,1105.469,144.446,516.01,0.03037,7.662,30.73264754,2.307536808,0.299328796,0.284657156,201,0,"gravelly loam",60.41260445,0.466556173,0,0,0,0,0,21.432,0,0,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",21.9233042,0.036481959,0.036481959,59.10367382,1.721927711,1.651281871,43.38410991,24.27647072,0,0.975809764,0.175497172,0.009107565,0.009979545,0.00817868,0.948398202,0.000503842,0.878448918,0.948398202,0.051097955,0.000503842,0.878448918,0,35792.21,35792.21,13.6265912,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1378",8272463,1.04253,0.000940616,298.43,30.78,190.1,3,1105.55,1051.20137,146.92443,221.87,145.08,0.03868,11.6439,2,1.58,0,"clay loam",78.74872015,0.473655351,0,0,0,31.93486469,1.062644357,0.001126592,323.2656901,25.95849917,180.5499456,3,2.038294526,1049.467701,146.7977509,340.5,0.055024019,24.865,35.7,1.58,0.32,0.4,201,0,"clay loam",78.68219786,0.611589706,0,0,0,0,0,4.908,0,0,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",17.19742162,0,0,60.89370138,1.857819905,1.938717563,43.31914837,21.34564516,0,0.935153312,0,0.00916069,0.010528921,0.007707748,0.979948805,0,0.929982046,0.974681992,0.025318008,0,0.949648711,0,1447.75,3341.78,8.9139,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1381",8272469,1.1482,0.000542163,55.05,6.1,201.8,10.29,999.15,968.93219,151.07537,62.72,22.36,0.00592,271.7102,2,1.916374618,2.172738004,"silty clay loam",68.21558153,1.195175035,0.956140028,0,0.164255349,36.45322307,1.174129705,0.000636779,81.85794274,9.137238512,208.2662729,9.888725243,4.879604406,979.3672308,151.265907,125.96,0.014030401,185.015,33.64952731,1.916181415,0.298605546,0.781225993,133.3054389,1.410303357,"silty clay loam",68.54981865,0.930931955,0.206873768,0,0.051718442,0,0.279641338,19.346,0.004874039,0.003163692,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",4.349349087,0.217507913,0.141252061,60.05106586,1.797058824,0.320866429,43.75486437,22.26954377,0,0.971394167,0.412835252,0.009189857,0.010850034,0.007430258,0.343395955,0.083106267,0.270994334,0.554342795,0.390131863,0.055525343,0.465641952,0.070705244,74526.87,80643.22,6.907154017,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1382",8272471,1.14399,0.000371581,46.12,4.21,200.9,5.42,985.34,972.7869,151.2766,48.05,22.36,0.00773,713.2422,1,1.964176221,2.760074352,"silty clay loam",69.68860798,1.00669563,0.11185507,0,0,37.43,1.14399,0.000371581,46.12,4.21,200.9,5.42,4.98,972.7869,151.2766,48.05,0.00773,713.242,35.05386801,1.964176221,0.353551909,1.085258617,68.51643112,2.760074352,"silty clay loam",69.68860798,1.00669563,0,0,0,0,0,8.939,0.003686665,0.003686665,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",5.499817778,0.231661693,0.231661693,59.4380582,1.601769912,0.2135676,43.89852232,23.05270804,0,1.002771931,0.391805733,0.009189354,0.010853849,0.007425656,0.406124093,0.169016922,0.366471735,0.406124093,0.424858985,0.169016922,0.366471735,0.187784276,46390.55,46390.55,6.921165456,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1384",8272477,1.09046,0.001913579,304,28.75,175.3,3,1104.16,1048.216,146.7063,330.83,221.87,0.06301,48.2062,1,1.58,0,"clay loam",78.73869347,1.111719382,0,0,0,31.23,1.09046,0.001913579,304,28.75,175.3,3,2,1048.216,146.7063,330.83,0.06301,48.206,35.7,1.58,0.32,0.4,201,0,"clay loam",78.73869347,1.111719382,0,0,0,0,0,0.904,0,0,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",24.6707904,0,0,60.07647516,1.544444444,2.71448291,43.41087744,22.40990193,0,0.948461763,0,0.009141185,0.010387503,0.007816965,0.970854272,0,0.965137615,0.970854272,0.029145729,0,0.965137615,0,342.03,342.03,8.9139,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1385",8272479,1.14478,0.000681535,194.73,27.54,180.4,3,1062.74,1119.24546,143.58892,127.55,104.6,0.00689,24.3429,3,1.623792296,0,"very gravelly loam",73.60084652,0.204538235,0.204538235,0,0,31.3170165,1.179262288,0.000702708,353.0504752,27.38985623,176.3466492,2.766609508,2.844693753,1144.334369,142.3924558,572.74,0.039707909,13.695,33.49360127,1.808610965,0.294210934,0.447608514,201,0,"clay loam",73.62490769,0.576864558,0,0,0,0,0,91.881,0,3.44e-05,"PCT_SGEOL_45.x","PCT_SGEOL_45.y",12.51036478,0,0.023734226,61.52337105,1.678423237,1.75895991,43.374199,19.97433943,0,0.903912217,2.61e-05,0.009187549,0.010848346,0.007426043,0.953073242,0,0.901364113,0.960558803,0.039323673,0.000117541,0.90244399,0,6356.41,127329.16,7.128182698,"North Coast","Coastal Chaparral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
