shortname,fullnames,PositiveDir,vartype,Watershed,Anthropogenic,ClimateChange,Fire,LandCover,Landscape,Natural,WaterUse,PhysBio,WaterQuality,InstreamBio
MEAN_IEOF.y,Mean Infiltration-Excess Overland Flow (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MEAN_RCHRG.x,Mean Recharge (Catchment),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MEAN_RCHRG.y,Mean Recharge (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
N_POPDENSC,Population Density (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NHDAREAWTMAP.x,Mean Annual Precipitation (Catchment),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NHDAREAWTMAP.y,Mean Annual Precipitation (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NHDAREAWTMAT.x,Mean Annual Temperature (Catchment),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NHDAREAWTMAT.y,Mean Annual Temperature (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NHDCUMDRAINAG.x,Cumulative Drainage (Catchment),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NHDMAXELEVSMO.x,Maximum Elevation (Catchment),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NHDMAXELEVSMO.y,Maximum Elevation (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NHDMINELEVSMO.x,Minimum Elevation (Catchment),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NHDSLOPE.x,Stream Slope (Catchment),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NHDSLOPE.y,Stream Slope (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NLCD_CN.x,Mean Curve Number (Catchment),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NLCD_CN.y,Mean Curve Number (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OrgMatter_WA.x,Percent Organic Matter (Catchment),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OrgMatter_WA.y,Percent Organic Matter (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PCT_ADRAIN.x,Percent Artificial Drainage Area (Catchment),FALSE,exp,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PCT_ADRAIN.y,Percent Artificial Drainage Area (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PCT_IRRIG.x,Percent Irrigated Area (Catchment),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PCT_IRRIG.y,Percent Irrigated Area (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Pct2006AgrLC.x,Agricultural Land Cover (Catchment),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Pct2006AgrLC.y,Agricultural Land Cover (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Pct2006NatLC.y,Natural Land Cover (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Pct2006UrbLC.y,Urban Land Cover (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RF30_MEAN.x,Mean Rainfall-Runoff Erosivity (Catchment),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SATOF_MEAN.y,Mean Saturation-Excess Overland Flow (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
sedrisk.x,Sedimentation Risk (Catchment),FALSE,exp,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Silt_WA.y,Percent Silt (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SINUOSITY.x,Sinuosity (Catchment),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SINUOSITY.y,Sinuosity (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SLP_PERC.x,Percent Slope (Catchment),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SLP_PERC.y,Percent Slope (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SO.x,Stream Order (Catchment),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
StorageRatio.y,Dam Storage Ratio (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
STRM_DENS.x,Stream Density (Catchment),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
STRM_DENS.y,Stream Density (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SurfText_Maj.x,Soil Texture (Catchment),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SurfText_Maj.y,Soil Texture (Watershed),NA,exp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
basf_PC.x,Projected Change in Baseflow (%) (Catchment),TRUE,oth,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
frccMN.x,Fire Regime Condition Class (Catchment),TRUE,oth,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
prcp_PC.x,Projected Change in Precipitation (%) (Catchment),TRUE,oth,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
runo_PC.x,Projected Change in Monthly Surface Runoff (%) (Catchment),TRUE,oth,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
snwe_PC.x,Projected Change in Monthly Snowpack (%) (Catchment),TRUE,oth,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tave_PC.x,Projected Change in Average Temperature (%) (Catchment),TRUE,oth,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tmax_PC.x,Projected Change in Maximum Temperature (%) (Catchment),TRUE,oth,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tmin_PC.x,Projected Change in Minimum Temperature (%) (Catchment),TRUE,oth,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
fireMN.x,Projected Change in Wildfire Severity (Catchment),TRUE,oth,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
is_PC.x,Projected Land Cover Change (%) (Catchment),TRUE,oth,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TotalUse,Current Water Demand (Catchment),TRUE,oth,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DENS_RD_XING.x,Road Crossing Density (Catchment),FALSE,oth,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
StorageRatio.x,Dam Storage Ratio (Catchment),FALSE,oth,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CRAM_Overall_Score.x,CRAM Overall Score,TRUE,res,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
PHAB.MMI.Score,PHAB MMI Score,TRUE,res,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HiFall_p.x,Rate of Drainage After High Flow Events,NA,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LgFldFlow_p.x,Large Flood Flow,NA,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SmFldDate_p.x,Small Flood Date,NA,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SmFldDur_p.x,Small Flood Duration,NA,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SmFldFreq.x,Small Flood Frequency,NA,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CSCI.x,CSCI Score,TRUE,res,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
N_SUMMER,Nitrate,FALSE,res,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
pH_SUMMER.x,pH,NA,res,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SpecCond_SUMMER.x,Specific Conductivity,FALSE,res,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
TEMP_SUMMER.x,Temperature,NA,res,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TURB_SUMMER.x,Turbidity,FALSE,res,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Ksat_WA,Soil Infiltration Capacity,NA,oth,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
pH_departure,Departure from Ideal pH,NA,oth,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
